model,family,split,donor,pearson_delta,e_distance,aucell_program_corr,n_test,n_strata,n_response_genes,leak_free,cluster,dataset,modality,registry_task,seed,ran,headline_eligible
ctrl-pred,simple,C2_soskic_LODO_D425,D425,0.0907,5.4558,-0.027,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D425,D425,0.2351,5.3747,-0.027,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D425,D425,0.3178,5.3714,-0.027,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D425,D425,0.0613,5.2119,-0.027,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D426,D426,0.2359,5.9542,-0.0739,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D426,D426,0.0322,5.9492,-0.0192,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D426,D426,-0.0046,5.9785,-0.0192,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D426,D426,-0.0041,5.9783,-0.0192,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D426,D426,0.1194,6.1698,-0.0159,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D427,D427,0.1482,5.8389,-0.0723,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D427,D427,-0.0379,5.7817,-0.0177,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D427,D427,-0.0418,5.8075,-0.0177,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D427,D427,-0.0542,5.8078,-0.0177,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D427,D427,-0.0142,6.092,-0.0632,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D428,D428,0.1926,6.151,-0.0724,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D428,D428,-0.0611,6.0911,-0.0747,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D428,D428,-0.086,6.1107,-0.068,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D428,D428,-0.0975,6.1107,-0.068,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D428,D428,0.1214,6.2151,-0.0176,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D429,D429,0.1476,5.4996,-0.0722,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D429,D429,-0.0397,5.4532,-0.0442,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D429,D429,-0.1112,5.4822,-0.0399,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D429,D429,-0.0836,5.4814,-0.0442,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D429,D429,0.0701,5.6136,-0.0175,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D430,D430,0.3687,6.0305,-0.0738,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D430,D430,0.0939,6.3282,-0.0195,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D430,D430,-0.0272,6.3291,-0.0195,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D430,D430,-0.0522,6.3287,-0.0195,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D430,D430,0.1035,6.2021,-0.0224,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D431,D431,0.2533,5.5573,-0.0749,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D431,D431,-0.0465,5.6191,-0.0737,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D431,D431,-0.1308,5.6715,-0.065,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D431,D431,-0.1788,5.6694,-0.0693,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D431,D431,0.0681,5.7461,-0.0182,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D432,D432,0.2601,5.7342,-0.0774,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D432,D432,0.0696,5.8614,-0.0223,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D432,D432,0.0897,5.8353,-0.0223,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D432,D432,0.0845,5.8371,-0.0223,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D432,D432,0.0975,5.7619,-0.0223,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D433,D433,0.2424,5.9774,-0.0712,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D433,D433,0.0065,5.8593,-0.0204,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D433,D433,-0.0248,5.8391,-0.0204,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D433,D433,-0.0127,5.8381,-0.0204,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D433,D433,0.1155,5.778,-0.0204,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D434,D434,0.1196,5.6892,-0.0639,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D434,D434,0.0071,5.5786,-0.018,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D434,D434,0.0328,5.566,-0.018,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D434,D434,0.0212,5.5654,-0.018,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D434,D434,0.1654,5.5265,-0.018,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D435,D435,0.2896,5.1211,-0.0739,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D435,D435,-0.0141,5.0222,-0.023,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D435,D435,-0.0168,5.0147,-0.023,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D435,D435,-0.034,5.0141,-0.023,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D435,D435,0.2,4.9222,-0.023,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D436,D436,0.26,5.4036,-0.0682,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D436,D436,0.1053,5.4573,-0.0196,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D436,D436,0.0468,5.4338,-0.0196,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D436,D436,0.0509,5.4343,-0.0196,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D436,D436,0.1671,5.2649,-0.0196,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D439,D439,0.2346,5.5072,-0.0739,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D439,D439,0.078,5.6339,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D439,D439,-0.0242,5.6107,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D439,D439,0.0115,5.6083,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D439,D439,0.1777,5.4759,-0.1155,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D440,D440,0.2264,4.9776,-0.0651,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D440,D440,0.0738,4.9528,-0.0208,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D440,D440,0.0204,4.9293,-0.0208,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D440,D440,0.0437,4.9287,-0.0208,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D440,D440,0.12,4.9414,-0.1167,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D441,D441,0.2576,5.2397,-0.0709,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D441,D441,-0.0549,5.3696,-0.027,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D441,D441,0.0752,5.3531,-0.0296,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D441,D441,0.0499,5.3542,-0.027,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D441,D441,0.19,5.2292,-0.0428,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D442,D442,0.2715,5.118,-0.0673,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D442,D442,-0.0275,5.2212,-0.0216,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D442,D442,0.017,5.2051,-0.0216,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D442,D442,0.0301,5.2044,-0.0216,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D442,D442,0.1696,5.1084,-0.0216,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D443,D443,0.2,5.1501,-0.0718,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D443,D443,-0.0047,5.2065,-0.0249,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D443,D443,0.017,5.1903,-0.0229,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D443,D443,0.0426,5.1907,-0.0229,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D443,D443,0.0855,5.141,-0.0633,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D445,D445,0.2353,5.6148,-0.0625,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D445,D445,-0.0631,5.2056,-0.0155,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D445,D445,-0.0391,5.2131,-0.0155,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D445,D445,-0.0771,5.211,-0.0188,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D445,D445,0.1745,5.2442,-0.0188,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D446,D446,0.1898,5.799,-0.0656,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D446,D446,0.0234,5.3971,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D446,D446,0.0188,5.3946,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D446,D446,-0.0281,5.392,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D446,D446,0.0719,5.5529,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D447,D447,0.2391,8.1405,-0.0629,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D447,D447,0.0604,8.848,-0.0144,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D447,D447,0.0569,8.8178,-0.0144,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D447,D447,0.0393,8.816,-0.0144,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D447,D447,0.1245,8.818,-0.0144,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D448,D448,0.3312,6.1719,-0.0627,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D448,D448,-0.0315,5.66,-0.0507,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D448,D448,-0.0079,5.6526,-0.0332,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D448,D448,-0.0334,5.6532,-0.0375,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D448,D448,0.1826,5.6962,-0.019,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D449,D449,0.308,5.2913,-0.0748,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D449,D449,0.0456,5.1351,-0.0171,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D449,D449,-0.0392,5.1246,-0.0171,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D449,D449,-0.0015,5.1239,-0.0171,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D449,D449,0.1998,5.1384,-0.0171,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D450,D450,0.3181,5.2912,-0.0674,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D450,D450,-0.0004,5.1646,-0.0508,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D450,D450,0.0621,5.151,-0.0344,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D450,D450,0.0505,5.1506,-0.0377,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D450,D450,0.2661,5.1254,-0.0508,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D451,D451,0.5194,6.0171,-0.0275,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D451,D451,-0.177,6.8197,-0.0275,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D451,D451,0.0112,6.8093,-0.0275,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D451,D451,0.0204,6.8086,-0.0275,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D451,D451,0.1511,6.9817,-0.0275,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D452,D452,0.2823,5.2486,-0.0641,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D452,D452,0.0574,5.159,-0.0206,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D452,D452,0.0032,5.1414,-0.0206,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D452,D452,-0.0053,5.1425,-0.0206,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D452,D452,0.1523,5.1664,-0.0206,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D453,D453,0.3893,5.1254,-0.0664,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D453,D453,0.0505,5.1161,-0.0204,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D453,D453,-0.0523,5.1231,-0.0204,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D453,D453,-0.0614,5.1244,-0.0204,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D453,D453,0.2834,5.0422,-0.0178,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D454,D454,0.5603,5.7807,-0.0695,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D454,D454,-0.0446,5.656,-0.0223,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D454,D454,0.0517,5.6686,-0.0223,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D454,D454,0.0485,5.6675,-0.0223,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D454,D454,0.3329,5.6091,-0.0223,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D455,D455,0.1853,5.9275,-0.0709,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D455,D455,-0.0032,5.8998,-0.0218,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D455,D455,0.0562,5.8727,-0.0218,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D455,D455,0.1246,5.8724,-0.0218,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D455,D455,0.1565,5.8837,-0.0218,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D456,D456,0.3228,5.2486,-0.06,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D456,D456,0.024,5.2214,-0.0203,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D456,D456,-0.0462,5.2187,-0.0203,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D456,D456,0.0001,5.2188,-0.0203,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D456,D456,0.2007,5.2226,-0.0203,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D457,D457,0.2666,5.553,-0.0734,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D457,D457,0.0555,5.5688,-0.0489,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D457,D457,-0.0105,5.5675,-0.0463,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D457,D457,-0.0058,5.5675,-0.0489,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D457,D457,0.1745,5.5646,-0.141,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D458,D458,0.3076,4.7875,-0.0794,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D458,D458,0.0256,4.7346,-0.0173,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D458,D458,-0.1062,4.7581,-0.0173,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D458,D458,-0.1081,4.758,-0.0173,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D458,D458,0.2121,4.8517,-0.0173,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D459,D459,0.3851,5.7287,-0.031,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D459,D459,-0.0748,6.1858,-0.0296,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
